company_name,stock_code,industry,year,revenue,net_profit,operating_cashflow,roe,debt_ratio,gross_margin,eps,audit_opinion,raw_source
比亚迪股份有限公司,002594,新能源产业链（新能源汽车整车）,2023,6023.15,300.41,1697.25,24.4,77.86,20.22,3.44,标准的无保留意见,比亚迪近三年核心财务数据
比亚迪股份有限公司,002594,新能源产业链（新能源汽车整车）,2024,7771.02,402.54,1334.54,26.05,74.64,19.44,4.61,标准的无保留意见,比亚迪近三年核心财务数据
比亚迪股份有限公司,002594,新能源产业链（新能源汽车整车）,2025,8039.65,326.19,591.36,15.31,70.74,17.75,3.58,标准的无保留意见,比亚迪近三年核心财务数据
宁德时代新能源科技股份有限公司,300750,新能源产业链（动力电池）,2023,4009.17,441.21,928.26,24.04,72.43,,10.06,标准的无保留意见,宁德时代2023-2025年报提炼数据
宁德时代新能源科技股份有限公司,300750,新能源产业链（动力电池）,2024,3620.13,507.45,969.9,24.13,68.61,,11.58,标准的无保留意见,宁德时代2023-2025年报提炼数据
宁德时代新能源科技股份有限公司,300750,新能源产业链（动力电池）,2025,4237.02,722.01,1332.2,24.72,65.42,,16.14,标准的无保留意见,宁德时代2023-2025年报提炼数据
长安汽车股份有限公司,000625,新能源产业链（整车制造）,2023,1512.98,113.27,198.61,16.55,60.73,18.36,1.13,标准的无保留意见,长安汽车股份有限公司2025-2023年核心财务数据（用户整理，来源文件：000625长安汽车25-23年核心数据(1).xlsx）
长安汽车股份有限公司,000625,新能源产业链（整车制造）,2024,1597.33,73.21,48.49,9.69,62.01,14.94,0.74,标准的无保留意见,长安汽车股份有限公司2025-2023年核心财务数据（用户整理，来源文件：000625长安汽车25-23年核心数据(1).xlsx）
长安汽车股份有限公司,000625,新能源产业链（整车制造）,2025,1640.0,40.75,18.36,5.3,59.61,15.54,0.41,标准的无保留意见,长安汽车股份有限公司2025-2023年核心财务数据（用户整理，来源文件：000625长安汽车25-23年核心数据(1).xlsx）
上海汽车集团股份有限公司,600104,新能源产业链（整车制造）,2023,7261.99,141.06,423.34,4.98,65.96,10.19,1.226,标准的无保留意见,上海汽车集团股份有限公司2025-2023年核心财务数据（用户整理，来源文件：600104上汽集团25-23年核心数据.xlsx）
上海汽车集团股份有限公司,600104,新能源产业链（整车制造）,2024,6140.74,16.66,692.68,0.58,63.77,9.38,0.145,标准的无保留意见,上海汽车集团股份有限公司2025-2023年核心财务数据（用户整理，来源文件：600104上汽集团25-23年核心数据.xlsx）
上海汽车集团股份有限公司,600104,新能源产业链（整车制造）,2025,6461.52,101.06,343.07,3.43,62.37,10.09,0.885,标准的无保留意见,上海汽车集团股份有限公司2025-2023年核心财务数据（用户整理，来源文件：600104上汽集团25-23年核心数据.xlsx）
江西赣锋锂业集团股份有限公司,002460,新能源产业链（锂资源与材料）,2023,329.72,49.47,1.46,10.84,42.94,13.94,2.46,标准的无保留意见,江西赣锋锂业集团股份有限公司2025-2023年核心财务数据（用户整理，来源文件：002460赣锋锂业25-23年核心数据(1).xlsx）
江西赣锋锂业集团股份有限公司,002460,新能源产业链（锂资源与材料）,2024,189.06,-20.74,51.61,-4.6,52.8,10.75,-1.03,标准的无保留意见,江西赣锋锂业集团股份有限公司2025-2023年核心财务数据（用户整理，来源文件：002460赣锋锂业25-23年核心数据(1).xlsx）
江西赣锋锂业集团股份有限公司,002460,新能源产业链（锂资源与材料）,2025,230.82,16.13,29.45,3.8,54.22,15.69,0.8,标准的无保留意见,江西赣锋锂业集团股份有限公司2025-2023年核心财务数据（用户整理，来源文件：002460赣锋锂业25-23年核心数据(1).xlsx）
天齐锂业股份有限公司,002466,新能源产业链（锂资源与材料）,2023,405.03,72.97,226.88,14.61,25.94,85.02,4.45,标准的无保留意见,天齐锂业股份有限公司2025-2023年核心财务数据（用户整理，来源文件：002466天齐锂业25-23年核心数据(1).xlsx）
天齐锂业股份有限公司,002466,新能源产业链（锂资源与材料）,2024,130.63,-79.05,55.54,-16.92,28.39,46.03,-4.82,标准的无保留意见,天齐锂业股份有限公司2025-2023年核心财务数据（用户整理，来源文件：002466天齐锂业25-23年核心数据(1).xlsx）
天齐锂业股份有限公司,002466,新能源产业链（锂资源与材料）,2025,103.46,4.63,29.61,1.1,28.04,41.25,0.28,标准的无保留意见,天齐锂业股份有限公司2025-2023年核心财务数据（用户整理，来源文件：002466天齐锂业25-23年核心数据(1).xlsx）
欣旺达电子股份有限公司,300207,新能源产业链（消费电池与动力电池）,2023,478.62,10.76,36.18,4.93,59.07,14.6,0.58,标准的无保留意见,欣旺达电子股份有限公司2025-2023年核心财务数据（用户整理，来源文件：300207欣旺达25-23年核心数据(1).xlsx）
欣旺达电子股份有限公司,300207,新能源产业链（消费电池与动力电池）,2024,560.21,14.68,32.9,6.26,63.44,15.18,0.79,标准的无保留意见,欣旺达电子股份有限公司2025-2023年核心财务数据（用户整理，来源文件：300207欣旺达25-23年核心数据(1).xlsx）
欣旺达电子股份有限公司,300207,新能源产业链（消费电池与动力电池）,2025,632.46,10.57,36.32,4.39,71.25,13.94,0.57,标准的无保留意见,欣旺达电子股份有限公司2025-2023年核心财务数据（用户整理，来源文件：300207欣旺达25-23年核心数据(1).xlsx）
国轩高科股份有限公司,002074,新能源产业链（动力电池）,2023,316.05,9.39,24.19,3.87,71.9,16.92,0.53,标准的无保留意见,国轩高科股份有限公司2025-2023年核心财务数据（用户整理，来源文件：02074国轩高科25-23年核心数据(1).xlsx）
